"","PERMCO","GVKEY","SECID","start_date","end_date"
"266","10514","020993","111623",1992-05-28,2005-03-11
"267","10515","021078","7120",1990-03-13,1997-06-25
"268","10517","021061","103752",1990-03-13,2012-05-15
"269","10519","017780","111965",1995-03-31,2013-03-28
"270","10521","021066","105151",1992-03-12,2010-07-22
"271","10522","021081","7121",1990-03-14,1998-08-26
"272","10523","021063","7118",1994-01-27,1998-03-19
"273","10524","021060","7116",1990-03-16,1997-08-29
"274","10525","021062","7117",1990-03-16,1999-04-16
"275","10529","021107","7123",1990-03-20,1999-09-02
"276","10530","021159","110599",1990-03-21,2005-06-30
"277","10531","021153","110212",1990-03-21,1997-10-08
"278","10532","021151","107848",1992-03-06,1995-11-20
"279","10533","021244","107272",1990-03-26,2008-05-08
"280","10535","021186","107378",1995-10-24,2012-12-10
"281","10536","021204","110708",1990-03-29,2002-08-12
"282","10537","021166","101418",1990-11-30,2005-04-22
"283","10538","021201","104460",1990-03-30,1992-12-04
"284","10539","021207","7129",1992-08-27,1995-05-19
"285","10540","021217","108337",1990-04-02,2001-03-19
"286","10542","021218","106268",1990-04-02,2003-04-15
"287","10544","021237","110965",1990-04-03,2015-12-31
"288","10545","021238","111710",1990-04-03,2015-12-31
"289","10546","021235","7132",1990-04-04,1999-03-25
"290","10548","021252","101371",1990-04-09,2001-06-21
"291","10552","021374","109935",1990-04-10,2012-12-12
"292","10553","021251","7134",1990-04-11,1997-07-23
"293","10556","015487","6692",1990-04-17,1999-11-24
"294","10557","021427","103495",1990-04-17,2009-11-27
"295","10559","021434","7139",1990-04-18,1997-11-12
"296","10561","021429","105368",1990-04-20,2015-12-31
"297","10563","021503","111471",1990-04-23,2015-12-31
"298","10566","021496","108519",1990-04-24,2015-02-09
"299","10567","021487","102054",1992-06-05,2015-12-31
"300","10569","021435","100895",1990-10-23,1999-01-13
"301","10574","021488","106509",1993-01-20,2006-12-22
"302","10575","021506","101667",1991-04-17,2005-08-12
"303","10576","021501","7141",1990-04-27,1996-10-24
"304","10578","021508","101714",1990-05-01,2005-09-22
"305","10579","021763","111025",1990-05-01,2005-06-09
"306","10580","021659","106012",1990-05-02,2005-11-23
"307","10581","021505","101349",1990-05-01,2001-11-26
"308","10582","021519","101702",1994-04-06,2008-11-19
"309","10587","021507","100872",1990-05-04,2003-06-30
"310","10589","021685","101765",1990-05-08,2004-11-19
"311","1059","003444","5243",1972-12-14,1999-03-10
"312","10591","021684","7148",1995-10-30,1999-03-11
"313","10592","022681","7198",1995-07-20,2000-11-08
"314","10593","021776","101815",1990-05-08,2015-01-12
"315","10594","009063","101802",1995-11-28,2015-12-31
"316","10595","021952","7158",1990-05-14,1997-05-28
"317","10596","003711","110068",1990-05-14,1991-08-22
"318","10597","021534","7142",1990-05-15,1994-11-01
"319","10599","021856","104970",1990-05-15,1994-05-27
"320","10604","022260","105474",1993-09-01,2006-11-17
"321","10605","022262","7178",1990-05-18,1997-01-21
"322","10606","022264","7180",1992-02-19,1996-07-15
"323","10607","022059","106186",1990-05-22,2011-07-27
"324","10611","021962","7160",1994-11-04,1997-10-01
"325","10613","018007","6899",1990-11-20,1996-05-14
"326","10615","021300","109629",1994-05-09,2005-12-22
"327","1062","003518","5249",1980-05-19,1998-06-18
"328","10621","022250","110141",1990-06-05,2004-01-21
"329","10624","019742","110005",1990-06-05,2004-06-30
"330","10625","022205","106601",1990-06-05,2013-04-30
"331","10628","022249","7173",1990-06-07,1996-10-18
"332","1063","003520","5250",1972-12-14,1996-02-23
"333","10632","022057","111510",1990-06-08,1999-02-19
"334","10633","022170","7167",1990-06-08,1999-07-15
"335","10634","022325","112161",1990-06-12,2015-12-31
"336","10635","022263","7179",1990-06-12,1999-06-24
"337","10637","022306","104070",1991-07-02,2015-02-10
"338","10639","022308","100954",1992-05-26,2010-08-12
"339","1064","003334","5225",1979-01-15,1993-01-15
"340","10642","022338","111465",1990-06-18,2001-12-31
"341","10643","019593","6966",1990-06-18,1995-09-12
"342","10647","022542","112140",1994-12-12,2013-06-28
"343","10648","022231","7172",1990-06-22,2000-03-20
"344","10649","022545","7192",1990-06-22,1998-03-02
"345","10650","022403","7184",1990-06-22,1999-07-08
"346","10651","022543","105337",1992-05-11,2015-12-31
"347","10652","022461","101642",1990-06-26,2015-12-31
"348","10656","022525","7190",1990-06-27,2000-02-29
"349","10657","022532","110670",1990-06-29,2007-05-10
"350","10658","022536","7191",1992-06-02,2000-10-13
"351","10659","022528","107538",1990-06-29,2001-04-27
"352","10660","022524","7189",1990-06-29,1996-07-15
"353","10665","020556","108019",1991-12-19,2001-07-16
"354","10669","022612","112009",1990-07-03,2015-01-26
"355","10670","021291","106741",1995-08-02,2001-07-20
"356","10671","022776","7202",1991-02-15,1997-12-22
"357","10673","022751","110489",1990-07-10,2005-10-03
"358","10674","022730","7199",1995-04-24,1995-08-16
"359","10675","021757","7150",1990-07-11,2000-05-15
"360","10676","022555","7193",1990-07-11,2015-12-31
"361","10677","022763","7201",1990-08-23,1998-02-18
"362","10679","017418","101743",1990-07-13,1991-12-09
"363","10680","022619","104381",1990-07-13,2003-11-28
"364","10681","022567","109350",1994-12-02,1995-03-23
"365","10683","021116","100888",1990-07-19,1998-12-16
"366","10684","022817","104637",1990-07-19,2015-12-31
"367","10686","022810","107651",1990-07-19,2008-07-23
"368","10689","022829","108336",1990-07-19,2012-05-09
"369","10690","022797","103207",1990-07-20,2015-12-31
"370","10691","022815","111216",1990-07-20,2015-12-31
"371","10693","023122","7221",1991-08-26,1999-07-28
"372","10694","022832","7207",1990-07-24,1999-02-12
"373","10695","022823","105978",1995-04-24,2002-04-18
"374","10696","022837","108144",1990-07-25,2002-08-30
"375","10697","023146","103144",1993-10-04,1999-03-05
"376","10701","023194","7228",1995-02-13,1996-05-22
"377","10703","022946","108208",1990-08-01,2004-01-27
"378","10704","022913","105664",1990-08-22,2006-11-03
"379","10706","011238","108598",1990-08-02,2000-11-20
"380","10708","022957","110069",1990-08-02,2006-12-01
"381","1071","003153","103131",1972-12-13,2015-12-31
"382","10715","022980","111769",1990-08-10,2000-06-28
"383","10716","023000","104008",1990-08-13,2005-07-27
"384","10719","023045","7215",1990-08-14,2000-08-08
"385","1072","003562","103480",1972-12-14,2015-12-31
"386","10721","023047","7216",1990-08-15,1996-05-02
"387","10723","023034","107206",1990-08-16,2005-04-18
"388","10724","023027","104521",1990-08-17,2015-12-31
"389","10727","023080","110682",1990-08-21,2004-06-10
"390","10729","023050","109910",1990-08-21,2002-03-01
"391","10730","023076","7219",1994-08-31,2000-05-08
"392","10731","011757","102618",1990-08-21,1992-11-09
"393","10732","023065","7217",1990-08-21,1998-06-04
"394","10733","023113","107175",1995-07-24,2006-06-30
"395","10737","022495","104869",1990-08-24,1993-08-26
"396","10741","023088","111781",1990-08-29,2008-10-29
"397","10743","019318","108763",1990-08-30,2015-12-31
"398","10748","023118","101944",1990-09-12,2005-02-07
"399","10749","002963","5182",1990-09-17,1998-06-17
"400","10751","015292","108400",1990-09-10,1996-05-01
"401","10753","023130","7223",1993-10-05,1997-01-24
"402","10754","022659","108134",1992-05-12,2001-05-15
"403","10755","023135","111659",1990-09-19,2000-09-08
"404","10756","023133","7224",1991-06-20,1999-10-13
"405","10757","021719","7149",1990-09-24,1991-12-11
"406","10758","023195","107276",1990-09-26,2015-12-31
"407","10760","022991","7212",1990-09-27,1998-04-23
"408","1077","002561","102559",1981-03-31,2007-04-13
"409","10770","011031","5982",1990-10-12,1998-09-24
"410","10778","023491","101894",1991-01-03,1998-08-13
"411","10783","006836","107053",1990-11-06,2013-07-01
"412","10796","023489","106476",1990-12-04,2001-06-11
"413","10805","023500","102797",1990-12-14,2015-12-31
"414","10809","023576","7247",1991-01-08,1997-09-09
"415","10811","023526","105618",1990-12-19,2001-05-21
"416","10812","023531","7245",1990-12-20,1996-05-29
"417","10813","023528","106093",1990-12-20,2009-05-28
"418","10815","023577","110799",1991-01-11,2014-02-07
"419","10817","021542","100861",1993-09-16,2015-12-31
"420","10822","020782","7090",1993-10-04,1998-08-05
"421","10825","023196","110377",1994-02-04,1998-05-01
"422","10826","023605","103610",1995-09-21,2003-01-07
"423","10827","007526","109381",1991-02-01,2015-12-31
"424","10828","012338","105617",1991-02-06,2014-01-24
"425","1083","003422","5238",1972-12-14,2000-08-31
"426","10830","023600","106571",1993-06-01,1998-08-26
"427","10831","023062","106176",1995-06-19,2015-12-31
"428","10832","023622","7250",1991-02-26,2000-05-31
"429","10833","023616","101086",1991-02-11,2015-05-08
"430","10836","023623","107080",1991-03-08,1992-08-17
"431","10837","023625","7251",1991-02-19,1996-05-28
"432","10841","023700","115388",2004-03-12,2010-02-18
"433","10841","023700","7253",1991-02-27,1998-02-27
"434","10842","023692","7252",1995-07-11,2000-03-29
"435","10843","023697","110295",1991-02-28,2015-12-31
"436","10844","012444","108606",1991-03-01,1996-08-28
"437","10845","021675","106511",1995-01-10,2005-04-28
"438","10846","014066","110776",1991-03-05,2003-01-31
"439","10847","023717","110194",1991-03-06,2008-09-18
"440","10849","023714","7256",1991-03-07,1996-07-09
"441","10851","023716","7257",1991-03-08,1997-04-10
"442","10853","006717","108575",1991-03-11,2009-02-11
"443","10854","023921","7278",1991-03-12,1997-10-31
"444","10855","023753","109397",1991-03-12,2015-12-31
"445","10857","023712","7255",1995-10-23,1996-10-21
"446","10859","023805","7266",1991-03-27,1995-05-24
"447","10860","023767","101762",1991-03-19,2015-12-31
"448","10862","020492","102154",1992-03-02,2001-05-11
"449","10865","023776","110289",1991-03-20,2010-07-27
"450","10867","023768","108628",1991-03-21,2015-12-31
"451","10869","023777","105036",1991-03-22,2003-02-18
"452","10872","023520","7244",1991-03-26,1997-12-30
"453","10874","023799","101588",1991-04-01,2006-01-30
"454","10876","023812","109538",1991-04-02,2015-12-31
"455","10877","023810","106137",1991-04-02,2015-12-31
"456","10878","023820","112071",1993-12-08,2001-04-17
"457","10879","023819","106847",1991-04-03,2002-05-15
"458","10880","023826","7269",1991-04-04,1997-08-06
"459","10882","023667","106726",1993-11-15,2007-09-19
"460","10883","023852","104932",1994-07-13,2014-03-05
"461","10884","023858","7270",1991-04-10,1999-06-30
"462","10886","023875","7273",1991-04-11,1996-12-30
"463","10887","023890","7276",1991-04-11,1997-01-16
"464","10890","023868","7271",1991-04-16,2000-03-10
"465","10891","023877","103485",1991-04-17,2013-05-06
"466","10892","023876","7274",1991-04-17,1996-09-25
"467","10893","023897","7277",1991-04-18,1999-06-29
"468","10894","023898","109577",1991-04-22,2015-12-31
"469","10895","184312","107599",1991-04-19,2010-02-09
"470","10895","184312","142936",2010-02-10,2013-12-26
"471","10895","184312","204310",2013-12-27,2015-12-31
"472","10896","024108","7299",1991-06-06,1998-10-21
"473","10897","023929","7279",1991-04-19,1997-06-10
"474","10899","023940","111406",1991-04-23,2010-07-09
"475","109","001021","100893",1982-11-29,1999-03-19
"476","1090","017744","102860",1981-03-12,2002-03-01
"477","10900","023948","108565",1991-04-24,2006-07-26
"478","10901","023943","108639",1991-04-24,2015-12-31
"479","10902","023945","102886",1991-04-25,2011-10-13
"480","10903","023946","106196",1991-04-25,1999-12-22
"481","10904","023950","110651",1991-04-25,2001-12-20
"482","10905","024157","104720",1991-06-10,2015-12-31
"483","10906","023953","7283",1991-04-25,2000-02-09
"484","10908","023955","109707",1991-04-26,2004-08-26
"485","10911","023969","7285",1991-04-30,1996-06-28
"486","10913","023968","7284",1991-04-30,1999-01-13
"487","10914","023973","7286",1991-05-01,1999-08-23
"488","10916","023989","106579",1991-05-03,2003-12-31
"489","10918","023988","101597",1995-06-29,2008-10-28
"490","1092","003333","101683",1973-03-13,2006-04-28
"491","10924","024005","100985",1991-05-07,2015-12-31
"492","10925","024008","107379",1991-05-08,2007-06-18
"493","10928","024014","7288",1991-05-09,1998-01-30
"494","10930","022578","7194",1995-01-11,1998-02-10
"495","10931","024029","104498",1991-05-14,2008-08-29
"496","10933","024037","110468",1991-05-16,2002-07-09
"497","10934","024036","7289",1992-04-14,1997-05-14
"498","10935","023976","109220",1991-05-17,2002-03-15
"499","10937","024040","106469",1991-05-17,2015-12-31
"500","10938","024038","7290",1993-06-25,1999-01-27
"501","10939","012558","6196",1991-05-20,1994-12-21
"502","1094","002566","5143",1992-10-01,1994-08-19
"503","10940","024050","7291",1991-05-21,1996-08-26
"504","10941","024068","106011",1991-05-22,2000-01-20
"505","10942","024069","112086",1991-05-22,2001-10-08
"506","10943","020988","105332",1995-06-30,2000-01-28
"507","10946","024067","7294",1991-05-23,1998-03-30
"508","10947","015455","6682",1991-05-24,1997-07-22
"509","10949","022398","102214",1995-10-30,2005-12-26
"510","10949","022398","126700",2006-02-08,2006-12-12
"511","1095","003315","5222",1972-12-13,1997-12-16
"512","10950","100709","9378",1991-05-29,1996-09-05
